Feature,R2,RMSE,MAE,Correlation,P_value
NBAS,0.00023655546075007639,0.33354032,0.2602522,0.5828532,0.0002386756918898694
MRPL18,0.00020291697501184647,0.43763256,0.34737697,0.61487997,8.486357942692615e-05
MRPL23,0.00020052942206760793,0.48279124,0.39198327,0.65073365,2.313000292755962e-05
MYO1B,0.00014222152227183482,0.6090837,0.4857588,0.52591187,0.00117571445385507
PDIA6,0.00012922351674238275,0.48062673,0.37936348,0.6030522,0.00012594209569117494
UQCRC1,0.000128578214158237,0.5767979,0.47666338,0.5936999,0.0001702227290552089
FBXO22,0.00012326768215442652,0.35857397,0.2951392,0.548903,0.0006389901660373526
WDR75,0.00012231447449195798,0.34526205,0.2710326,0.4946599,0.0025218608058575807
OS9,0.00011576221052933544,0.6062116,0.47848675,0.6880381,4.9358930487679106e-06
PRPSAP1,9.444685090265192e-05,0.523188,0.40473184,0.36133236,0.032950749164727726
PHB,9.364596623229193e-05,0.47963774,0.3722321,0.5762748,0.0002913018316416705
ARHGAP45,9.13059237415137e-05,0.5138972,0.38444108,0.4507545,0.006578417097092101
GALNS,8.811857998636263e-05,0.51514935,0.41728088,0.41187057,0.013956259827270123
SLC12A7,8.543686974293863e-05,0.5483006,0.45812303,0.45493665,0.0060358002098467025
EMD,8.00986012999827e-05,0.6152056,0.5041783,0.5356447,0.0009130415901690824
FAT1,7.858166463237115e-05,0.5866915,0.46420565,0.62631404,5.705508769866652e-05
CCDC167,7.606559606465613e-05,0.45736113,0.36208585,0.50037855,0.002204880154345941
SLC1A5,7.576381464047266e-05,0.7837908,0.6344757,0.67938834,7.201833051410411e-06
GATC,7.540066204447804e-05,0.46904364,0.36639014,0.42888606,0.010147482942645085
B4GALT1,7.432664955953072e-05,0.63826245,0.5098901,0.62409395,6.170294365760038e-05
AKR7A2,7.332232409118511e-05,0.8342709,0.6271865,0.5701915,0.00034893910454497575
MGLL,7.282242405393102e-05,0.39690697,0.3239735,0.6391019,3.590713512435994e-05
EIF2A,6.919461282373085e-05,0.74950165,0.5624504,0.37535176,0.026289164475470084
DHCR7,6.881226355681669e-05,0.599258,0.46039313,0.5644919,0.00041194452862548743
GBF1,6.740804175964232e-05,0.4129092,0.34685218,0.4663288,0.004748324548108544
MOSPD2,6.468908865231437e-05,0.5974062,0.44247726,0.47700647,0.003764094840881494
RPP30,6.135086100900189e-05,0.31783754,0.24872366,0.22467436,0.19443100558545381
AGRN,6.087929327291963e-05,0.9158481,0.7695495,0.78818315,1.8994765450932055e-08
RNF167,5.9630990312031784e-05,0.6162789,0.4532901,0.5588618,0.00048392651051269844
PPIF,5.840026477954563e-05,0.7290827,0.5591781,0.45390263,0.006166249877552167
P4HB,5.7781671452983296e-05,0.7240976,0.5812769,0.70832753,1.9309247090240928e-06
TENM3,5.6158768490965905e-05,0.53737694,0.41497192,0.37875938,0.02485003322966398
GLT8D1,5.178387753379532e-05,0.4626999,0.39859515,0.8398954,2.8305616762860843e-10
SPCS2,5.165529925932333e-05,0.51482135,0.41105044,0.6453951,2.8367954382266922e-05
SUPT16H,5.0143828715931704e-05,0.63483584,0.53866494,0.77451736,4.771088749836161e-08
ZNF768,5.0112019726933354e-05,0.5097305,0.4155768,0.72812116,7.144135695667065e-07
ELMOD2,5.000094652307663e-05,0.5859368,0.4529638,0.5005927,0.0021937184021984324
WDR43,4.8924895570068294e-05,0.51500136,0.4029695,0.42606172,0.010710456074833355
KRT85,4.469213283864182e-05,2.4277005,2.2058818,0.8347441,4.5832730891498783e-10
MALSU1,4.061207638494935e-05,0.42052165,0.32726243,0.6698946,1.0749154316494607e-05
GANAB,3.41769066330988e-05,0.57498914,0.43821365,0.52196723,0.0012998216138089818
SRPRA,3.376392348508617e-05,0.6587306,0.5427675,0.75054693,2.0774719486272508e-07
NDUFS6,3.3441381301457795e-05,0.6688523,0.5490217,0.3065724,0.0732532570592582
GNAS,3.284455717922352e-05,0.5763826,0.4556444,0.38011864,0.024294434966021773
MSRB2,3.203561245035402e-05,0.74446785,0.6021429,0.3655035,0.03083875541685236
TMEM11,2.9104670434265678e-05,0.3837087,0.304033,0.49532598,0.0024830050837103667
ZNF281,2.843484374481786e-05,0.27660412,0.2484,0.541951,0.0007719007928344993
LGALS3,2.826363363694906e-05,1.3760525,1.0931603,0.530666,0.0010400950760664086
RAB27A,2.8099534440384488e-05,0.88766754,0.6874937,0.6446747,2.9151513456098737e-05
PRR36,2.7987633888448826e-05,0.6362304,0.5259058,0.31269157,0.06741596326887446
TMTC3,2.7957837145597964e-05,0.77415663,0.6219594,0.7352671,4.884525179724268e-07
TGFBI,2.5273962031224784e-05,0.40377223,0.31057015,0.16339596,0.34830561777151464
CENPV,2.371427186775854e-05,1.1393096,0.9550683,0.7793743,3.464855876031136e-08
DTNBP1,2.0831007772614818e-05,0.5667034,0.43369842,0.16874118,0.3325435128869929
